ambient_temperature,dissolved_oxygen,do_volt,ec_volt,electrical_conductivity,humidity,ph_level,ph_voltge,sensor,temperature,time
32.308349609375,6.46795166858458,1590,2336,12.114737349797482,71.30126953125,8.369168356997971,1257,raspberrypi,34.5,2023-04-29 23:15:40.389842347
32.2882080078125,4.336375143843498,1066,2528,13.110469186767137,71.30126953125,6.707009240477801,1552,raspberrypi,34.5,2023-04-29 23:15:51.395457280
32.308349609375,4.775707710011508,1174,2503,12.98081660382838,71.39892578125,7.298625197205319,1447,raspberrypi,34.5,2023-04-29 23:16:02.404715222
32.308349609375,5.983872266973533,1471,2000,10.372206635100584,71.30126953125,10.465179175118323,885,raspberrypi,34.5,2023-04-29 23:16:13.357534092
32.31842041015625,5.055628571428572,1273,1680,8.644643408459402,71.30126953125,9.377732702276314,1078,raspberrypi,35.0,2023-04-29 23:16:24.369830884
32.31842041015625,5.925371428571428,1492,1982,10.198620973551508,71.30126953125,7.884606716249718,1343,raspberrypi,35.0,2023-04-29 23:16:35.354812100
32.33856201171875,4.241485714285714,1068,2240,11.526191211279201,71.39892578125,5.940725715573586,1688,raspberrypi,35.0,2023-04-29 23:16:47.699332379
32.3486328125,3.892,980,2386,12.277451888442936,71.3623046875,7.845165652467884,1350,raspberrypi,35.0,2023-04-29 23:16:58.737759771
32.35870361328125,3.3916,854,1984,10.208912215704435,71.3623046875,9.39463601532567,1075,raspberrypi,35.0,2023-04-29 23:17:09.777772246
32.388916015625,4.265314285714286,1074,2200,11.320366368220643,71.3623046875,6.183006535947713,1645,raspberrypi,35.0,2023-04-29 23:17:20.797703640
32.39898681640625,4.134257142857143,1041,2207,11.356385715755891,71.3623046875,6.075952219968447,1664,raspberrypi,35.0,2023-04-29 23:17:31.833314552
32.4090576171875,6.681782065834279,1694,2029,10.359599095258275,71.3623046875,8.617083615055218,1213,raspberrypi,35.5,2023-04-29 23:17:42.825970245
32.42919921875,4.173155505107832,1058,2294,11.71262706974987,71.3623046875,7.202839756592292,1464,raspberrypi,35.5,2023-04-29 23:17:54.429074062
32.43927001953125,5.171083995459705,1311,2581,13.177981894953971,71.3623046875,7.8733378408834795,1345,raspberrypi,35.5,2023-04-29 23:18:05.468395328
32.43927001953125,4.137656072644721,1049,1817,9.277176715665,71.3623046875,9.670723461798513,1026,raspberrypi,35.5,2023-04-29 23:18:16.517675441
32.45941162109375,5.036975028376845,1277,2624,13.397529830437513,71.3623046875,8.025467658327699,1318,raspberrypi,35.5,2023-04-29 23:18:27.590913502
32.469482421875,5.640465380249716,1430,2176,11.110146688655497,71.3623046875,11.377958079783639,723,raspberrypi,35.5,2023-04-29 23:18:38.660062046
32.4896240234375,4.855533484676504,1231,1739,8.878926972229737,71.2646484375,9.743971151679062,1013,raspberrypi,35.5,2023-04-29 23:18:49.680986171
32.4896240234375,4.078490351872872,1034,2098,10.711896945220237,71.1669921875,6.1661032228983546,1648,raspberrypi,35.5,2023-04-29 23:19:00.712710320
32.49969482421875,3.304329199549042,857,2414,12.230587615390073,71.1669921875,8.707234617985126,1197,raspberrypi,36.0,2023-04-29 23:19:11.764561053
32.509765625,3.820992108229989,991,1996,10.112780812062379,71.0693359375,6.577417173766058,1575,raspberrypi,36.0,2023-04-29 23:19:22.818957621
32.509765625,5.7565501691093575,1493,1961,9.935452491209581,71.0693359375,9.028397565922921,1140,raspberrypi,36.0,2023-04-29 23:19:33.864889739
